author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Группа Эталон;developer;https://www.cian.ru/sale/flat/284037084/;Москва;sale;flat;12;17;3;80.2;347940;27904792;Даниловский;бульвар Павла Филонова;ЗИЛ;Shagal
GloraX;developer;https://www.cian.ru/sale/flat/277738052/;Москва;sale;flat;3;21;3;91.13;417425;38039999;Беговой;1-я Ямского Поля;Белорусская;Глоракс Премиум Белорусская
СТАТУС;real_estate_agent;https://www.cian.ru/sale/flat/279552548/;Москва;sale;flat;5;5;3;185.7;408000;75765600;Мещанский;переулок Печатников;Трубная;
Донстрой;developer;https://www.cian.ru/sale/flat/285254192/;Москва;sale;flat;6;22;3;70.1;496700;34818670;Хорошево-Мневники;проезд Проектируемый № 1077;Терехово ;Остров
Regions Development;developer;https://www.cian.ru/sale/flat/276630504/;Москва;sale;flat;4;24;3;98.63;341052;33638020;Нагатинский затон;;Технопарк;Дрим Тауэрс ЖК
Absolute Premium;developer;https://www.cian.ru/sale/flat/280229585/;Москва;sale;flat;11;18;3;82.4;870048;71692000;Хамовники;Лужнецкая набережная;Воробьёвы горы;Luzhniki Collection
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/284556581/;Москва;sale;flat;13;45;3;98.8;500607;49460030;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/285256341/;Москва;sale;flat;7;21;3;92.2;412100;37995620;Раменки;Лобачевского;Мичуринский проспект;Событие
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284602625/;Москва;sale;flat;3;6;3;84.6;620567;52500000;Пресненский;Малая Бронная;Пушкинская;
Premium Moscow;real_estate_agent;https://www.cian.ru/sale/flat/283848110/;Москва;sale;flat;15;15;3;216.5;1016166;220000000;Мещанский;Цветной бульвар;Кузнецкий мост;Легенда Цветного
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/284198582/;Москва;sale;flat;6;22;3;132.0;416666;55000000;Красносельский;Грохольский переулок;Проспект Мира;
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/283382564/;Москва;sale;flat;15;15;3;216.5;1016166;220000000;Мещанский;Цветной бульвар;Кузнецкий мост;Легенда Цветного
ANT Development;developer;https://www.cian.ru/sale/flat/274568552/;Москва;sale;flat;2;11;3;116.69;977997;114122487;Дорогомилово;;Парк Победы;Виктори Парк Резиденсез ЖК
ANT Development;developer;https://www.cian.ru/sale/flat/283856141/;Москва;sale;flat;25;32;3;83.6;1254553;104880714;Дорогомилово;Поклонная;Парк Победы;Поклонная 9
Пионер;developer;https://www.cian.ru/sale/flat/283969873/;Москва;sale;flat;5;9;3;69.6;466601;32475499;Марьина роща;Полковая;Савёловская;PRIDE
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/284950902/;Москва;sale;flat;2;8;3;94.1;1700318;160000000;Пресненский;Малый Кисловский переулок;Арбатская;Рахманинов
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/284637064/;Москва;sale;flat;3;6;3;84.6;620567;52500000;Пресненский;Малая Бронная;Тверская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/268579031/;Москва;sale;flat;2;6;3;102.4;886000;90726400;Арбат;Поварская;Арбатская;De Luxe квартал апартаментов 
VESPER;developer;https://www.cian.ru/sale/flat/262519512/;Москва;sale;flat;3;21;3;163.59;810000;132507900;Пресненский;Костикова;Улица 1905 года;Lucky
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/284439160/;Москва;sale;flat;12;25;3;85.0;358811;30499000;Строгино;Твардовского;Строгино;Подсолнухи
Exclusive Realty;real_estate_agent;https://www.cian.ru/sale/flat/284011698/;Москва;sale;flat;25;52;3;78.0;640897;49990000;Раменки;Мичуринский проспект;Раменки;
KR Properties;developer;https://www.cian.ru/sale/flat/275220036/;Москва;sale;flat;5;5;3;235.1;972899;228728640;Хамовники;Зубовская;Парк Культуры;Metropol Serviced Residences
