author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;district;street;underground;residential_complex
Донстрой;developer;https://www.cian.ru/sale/flat/285254192/;Москва;sale;flat;6;22;3;70.1;496700;34818670;Хорошево-Мневники;проезд Проектируемый № 1077;Терехово ;Остров
Группа Эталон;developer;https://www.cian.ru/sale/flat/284038327/;Москва;sale;flat;7;13;3;81.7;333678;27261495;Даниловский;;ЗИЛ;Шагал ЖК
GloraX;developer;https://www.cian.ru/sale/flat/277738052/;Москва;sale;flat;3;21;3;91.13;417425;38039999;Беговой;1-я Ямского Поля;Белорусская;Глоракс Премиум Белорусская
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/285256943/;Москва;sale;flat;17;36;3;96.1;445900;42850990;Раменки;Кинематографический кв-л;Аминьевская;Событие-2 ЖК
Regions Development;developer;https://www.cian.ru/sale/flat/276630504/;Москва;sale;flat;4;24;3;98.63;341052;33638020;Нагатинский затон;;Технопарк;Дрим Тауэрс ЖК
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/284556581/;Москва;sale;flat;13;45;3;98.8;500607;49460030;Дорогомилово;Кутузовский проезд;Фили;River Park Towers Кутузовский
Premium Moscow;real_estate_agent;https://www.cian.ru/sale/flat/283848110/;Москва;sale;flat;15;15;3;216.5;1016166;220000000;Мещанский;Цветной бульвар;Кузнецкий мост;Легенда Цветного
FS PROPERTY;real_estate_agent;https://www.cian.ru/sale/flat/284198582/;Москва;sale;flat;6;22;3;132.0;416666;55000000;Красносельский;Грохольский переулок;Проспект Мира;
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/283382564/;Москва;sale;flat;15;15;3;216.5;1016166;220000000;Мещанский;Цветной бульвар;Кузнецкий мост;Легенда Цветного
Absolute Premium;developer;https://www.cian.ru/sale/flat/280229585/;Москва;sale;flat;11;18;3;82.4;870048;71692000;Хамовники;Лужнецкая набережная;Воробьёвы горы;Luzhniki Collection
ANT Development;developer;https://www.cian.ru/sale/flat/274568552/;Москва;sale;flat;2;11;3;116.69;977997;114122487;Дорогомилово;;Парк Победы;Виктори Парк Резиденсез ЖК
ANT Development;developer;https://www.cian.ru/sale/flat/283856141/;Москва;sale;flat;25;32;3;83.6;1254553;104880714;Дорогомилово;Поклонная;Парк Победы;Поклонная 9
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/268579031/;Москва;sale;flat;2;6;3;102.4;886000;90726400;Арбат;Поварская;Арбатская;De Luxe квартал апартаментов 
Пионер;developer;https://www.cian.ru/sale/flat/283969873/;Москва;sale;flat;5;9;3;69.6;466601;32475499;Марьина роща;Полковая;Савёловская;PRIDE
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/284950902/;Москва;sale;flat;2;8;3;94.1;1700318;160000000;Пресненский;Малый Кисловский переулок;Арбатская;Рахманинов
Гардтекс;developer;https://www.cian.ru/sale/flat/282397953/;Москва;sale;flat;5;9;3;156.2;1250000;195250000;Хамовники;Саввинская набережная;Киевская;SAVVIN RIVER RESIDENCE
VESPER;developer;https://www.cian.ru/sale/flat/262519512/;Москва;sale;flat;3;21;3;163.59;810000;132507900;Пресненский;Костикова;Улица 1905 года;Lucky
ID 11678754;realtor;https://www.cian.ru/sale/flat/279583767/;Москва;sale;flat;20;23;3;121.0;777115;94030917;Филевский парк;Кастанаевская;Филевский парк;Изумруд
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/284439160/;Москва;sale;flat;12;25;3;85.0;358811;30499000;Строгино;Твардовского;Строгино;Подсолнухи
Exclusive Realty;real_estate_agent;https://www.cian.ru/sale/flat/284011698/;Москва;sale;flat;25;52;3;78.0;640897;49990000;Раменки;Мичуринский проспект;Раменки;
MR Group;developer;https://www.cian.ru/sale/flat/254287057/;Москва;sale;flat;7;41;3;93.7;410000;38417000;Филевский парк;Багратионовский проезд;Фили;Filicity
Группа Родина;developer;https://www.cian.ru/sale/flat/276538013/;Москва;sale;flat;11;21;3;111.8;441788;49392000;Ростокино;Сельскохозяйственная;Ботанический сад;СОЮЗ
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/282395516/;Москва;sale;flat;4;9;3;109.0;642201;70000000;Тверской;Большой Каретный переулок;Цветной бульвар;Каретный плаза
IKON Development;developer;https://www.cian.ru/sale/flat/284060385/;Москва;sale;flat;19;21;3;115.4;799000;92204600;Басманный;Земляной Вал;Чкаловская;Дом Chkalov
ID 254498;unknown;https://www.cian.ru/sale/flat/277916287/;Москва;sale;flat;2;14;3;75.7;327608;24800000;Марьина роща;Складочная;Савёловская;Шереметьевский
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/277663104/;Москва;sale;flat;2;4;3;219.2;2138588;468778522;Хамовники;Пречистенская набережная;Парк Культуры;Кленовый DOM
Иван Новокрещёнов;realtor;https://www.cian.ru/sale/flat/284418902/;Москва;sale;flat;14;16;3;75.1;226364;17000000;Лианозово;Новгородская;Алтуфьево;
ФСК;developer;https://www.cian.ru/sale/flat/281553083/;Москва;sale;flat;4;10;3;83.7;436050;36497385;Свиблово;Снежная;Свиблово;The Lake
Capital Group;developer;https://www.cian.ru/sale/flat/283844177/;Москва;sale;flat;47;85;3;189.2;666931;126183374;Пресненский;1-й Красногвардейский проезд;Выставочная;МФК ОКО
ASTERUS;developer;https://www.cian.ru/sale/flat/274202008/;Москва;sale;flat;2;12;3;111.86;302808;33872103;Покровское-Стрешнево;;Спартак;Алиа ЖК
Forma;developer;https://www.cian.ru/sale/flat/283996748/;Москва;sale;flat;13;20;3;102.4;354677;36319027;Аэропорт;Часовая;Красный Балтиец;SOUL
Forma;developer;https://www.cian.ru/sale/flat/284059719/;Москва;sale;flat;6;34;3;74.81;501261;37499410;Пресненский;к1.1;Белорусская;Репаблик ЖК
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/285078074/;Москва;sale;flat;4;8;3;100.6;1519838;152895800;Хамовники;Льва Толстого;Парк Культуры;Литератор
Стадион Спартак;developer;https://www.cian.ru/sale/flat/282960151/;Москва;sale;flat;2;13;3;79.3;372500;29539250;Покровское-Стрешнево;Северо-Западный ао;Спартак;Клубный Город на Реке Примавера ЖК
Regions Development;developer;https://www.cian.ru/sale/flat/280854352/;Москва;sale;flat;4;17;3;98.4;408886;40234468;Преображенское;;Преображенская площадь;Преображенская Площадь ЖК
Пионер;developer;https://www.cian.ru/sale/flat/280755931/;Москва;sale;flat;6;32;3;114.8;464243;53295211;Даниловский;;Павелецкая;Хай Лайф ЖК
.Sense;developer;https://www.cian.ru/sale/flat/271240211/;Москва;sale;flat;8;13;3;102.8;472147;48536735;Даниловский;Подольское шоссе;Тульская;Logos
Донстрой;developer;https://www.cian.ru/sale/flat/285255319/;Москва;sale;flat;2;9;3;127.6;679900;86755240;Раменки;Кинематографический кв-л;Мичуринский проспект;Река ЖК
MadeState;real_estate_agent;https://www.cian.ru/sale/flat/283028090/;Москва;sale;flat;17;51;3;120.0;331666;39800000;Обручевский;Ленинский проспект;Новаторская;Well House на Ленинском
ФСК;developer;https://www.cian.ru/sale/flat/280427866/;Москва;sale;flat;2;29;3;76.2;380378;28984804;Ростокино;;Ботанический сад;Режиссер ЖК
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/280420033/;Москва;sale;flat;14;20;3;132.5;905660;120000000;Гагаринский;Косыгина;Воробьёвы горы;Фамильный дом Воробьево
Capital Group;developer;https://www.cian.ru/sale/flat/284503791/;Москва;sale;flat;61;65;3;116.04;874000;101418960;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/283479397/;Москва;sale;flat;5;15;3;138.47;1011049;140000000;Хамовники;Усачева;Спортивная;Садовые кварталы
Группа Эталон;developer;https://www.cian.ru/sale/flat/284036666/;Москва;sale;flat;3;20;3;92.3;538857;49736561;Замоскворечье;;Павелецкая;Воксхолл ЖК
Фёдор Емельянов;realtor;https://www.cian.ru/sale/flat/284682712/;Москва;sale;flat;2;4;3;102.0;271078;27649998;Куркино;Соколово-Мещерская;;
MR Group;developer;https://www.cian.ru/sale/flat/272591246/;Москва;sale;flat;6;57;3;83.33;496058;41336553;Филевский парк;;Фили;Фили Сити ЖК
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/281686954/;Москва;sale;flat;1;6;3;79.5;1660000;131970000;Басманный;Потаповский переулок;Чистые пруды;Чистые Пруды
ID 99394628;homeowner;https://www.cian.ru/sale/flat/283851059/;Москва;sale;flat;6;6;3;70.2;405982;28500000;Якиманка;1-й Спасоналивковский переулок;Октябрьская;
Valartis Group;developer;https://www.cian.ru/sale/flat/284404565/;Москва;sale;flat;5;8;3;129.5;800000;103600000;Арбат;Арбат;Арбатская;Turandot Residences
Valartis Group;developer;https://www.cian.ru/sale/flat/274788015/;Москва;sale;flat;5;5;3;143.4;1570000;225138000;Арбат;Арбат;Смоленская;Artisan
Hutton Development;developer;https://www.cian.ru/sale/flat/282786907/;Москва;sale;flat;8;8;3;213.4;1100000;234740000;Таганский;Славянская площадь;Китай-город;LUMIN
MH Group;real_estate_agent;https://www.cian.ru/sale/flat/284849850/;Москва;sale;flat;1;7;3;75.0;666666;49999999;Пресненский;Богословский переулок;Маяковская;
ФСК;developer;https://www.cian.ru/sale/flat/282208383/;Москва;sale;flat;24;30;3;80.6;271523;21884834;Покровское-Стрешнево;Строительный проезд;;Sky Garden
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/274702304/;Москва;sale;flat;3;24;3;107.6;636617;68500000;Беговой;Верхняя;Белорусская;Суббота
Premium Moscow;real_estate_agent;https://www.cian.ru/sale/flat/280407302/;Москва;sale;flat;4;21;3;120.83;728295;88000000;Пресненский;Жилой Лаки кв-л;Беговая;Lucky
Группа Эталон;developer;https://www.cian.ru/sale/flat/283964508/;Москва;sale;flat;4;19;3;100.4;482256;48418535;Алексеевский;Новоалексеевская;Алексеевская;Серебряный фонтан
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/281605926/;Москва;sale;flat;5;6;3;122.27;1547200;189176144;Замоскворечье;Космодамианская набережная;Новокузнецкая;Клубный дом Космо 4/22
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284602625/;Москва;sale;flat;3;6;3;84.6;620567;52500000;Пресненский;Малая Бронная;Пушкинская;
MR Group;developer;https://www.cian.ru/sale/flat/260683805/;Москва;sale;flat;2;11;3;97.14;560000;54398400;Филевский парк;;Фили;Фили Сити ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/278573876/;Москва;sale;flat;37;41;3;97.2;697530;67800000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
Hutton Development;developer;https://www.cian.ru/sale/flat/281379942/;Москва;sale;flat;8;17;3;141.78;575000;81523500;Гагаринский;Ленинский проспект;Ленинский проспект;Lunar
Тауэрс;developer;https://www.cian.ru/sale/flat/285260232/;Москва;sale;flat;71;78;3;133.2;1010000;134532000;Пресненский;1-й Красногвардейский проезд;Выставочная;NEVA TOWERS
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/266138871/;Москва;sale;flat;2;7;3;168.1;2099940;353000000;Пресненский;Малая Никитская;Баррикадная;
Forma;developer;https://www.cian.ru/sale/flat/284420071/;Москва;sale;flat;25;29;3;85.2;383902;32708535;Печатники;Южнопортовая;Печатники;Portland
ФСК;developer;https://www.cian.ru/sale/flat/275573739/;Москва;sale;flat;3;8;3;124.1;781500;96984150;Хорошево-Мневники;;Хорошёво;Сидней Сити ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/275261672/;Москва;sale;flat;7;10;3;121.0;1074380;130000000;Замоскворечье;Большая Татарская;Новокузнецкая;Четыре солнца
ДСК-1;developer;https://www.cian.ru/sale/flat/277341681/;Москва;sale;flat;6;15;3;68.1;230250;15680025;Молжаниновский;;Беломорская;Первый Ленинградский ЖК
ФСК;developer;https://www.cian.ru/sale/flat/274752611/;Москва;sale;flat;2;29;3;78.0;374000;29172000;Нагатино-Садовники;;Нагатинская;Роттердам ЖК
Capital Group;developer;https://www.cian.ru/sale/flat/283760178/;Москва;sale;flat;10;17;3;102.9;760000;78204000;Дорогомилово;;Киевская;Бадаевский ЖК
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/274288076/;Москва;sale;flat;3;15;3;141.0;1269503;179000000;Хамовники;Малая Пироговская;Спортивная;Barrin House
TEKTA GROUP;developer;https://www.cian.ru/sale/flat/284502365/;Москва;sale;flat;2;34;3;70.2;291900;20491380;Обручевский;;Калужская;Эвер ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/284955184/;Москва;sale;flat;9;47;3;94.4;360169;34000000;Ростокино;Вильгельма Пика;Ботанический сад;Режиссер
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/283090952/;Москва;sale;flat;5;5;3;84.3;616844;52000000;Хамовники;Языковский переулок;Фрунзенская;
Восход;developer;https://www.cian.ru/sale/flat/275356990/;Москва;sale;flat;14;17;3;107.2;591065;63362200;Филевский парк;Василисы Кожиной;Филевский парк;AHEAD
TEKTA GROUP;developer;https://www.cian.ru/sale/flat/284739865/;Москва;sale;flat;9;15;3;66.5;494100;32857650;Даниловский;проспект Лихачева;Технопарк;Квартал на набережной NOW
Донстрой;developer;https://www.cian.ru/sale/flat/285255470/;Москва;sale;flat;31;41;3;83.8;470462;39424716;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
COLDY;developer;https://www.cian.ru/sale/flat/285324331/;Москва;sale;flat;11;11;3;164.7;616145;101479168;Басманный;Казакова;Курская;KAZAKOV Grand Loft
AFI Development;developer;https://www.cian.ru/sale/flat/284323461/;Москва;sale;flat;19;52;3;102.6;298775;30654315;Свиблово;проезд Серебрякова;Свиблово;Afi Tower
Sminex-Интеко;developer;https://www.cian.ru/sale/flat/277908050/;Москва;sale;flat;22;27;3;75.8;425065;32220000;Очаково-Матвеевское;Аминьевское шоссе;Аминьевская;Вестердам
Sminex-Интеко;representative_developer;https://www.cian.ru/sale/flat/278102013/;Москва;sale;flat;7;12;3;81.41;548212;44630000;Сокол;Врубеля;Панфиловская;
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/283554547/;Москва;sale;flat;14;53;3;98.0;683673;67000000;Раменки;Мосфильмовская;Минская;Дом на Мосфильмовской
ID 90269300;realtor;https://www.cian.ru/sale/flat/280121094/;Москва;sale;flat;24;26;3;142.5;588000;83790000;Арбат;Новый Арбат;Арбатская;The Book
ID 90269300;realtor;https://www.cian.ru/sale/flat/280166007/;Москва;sale;flat;24;26;3;145.1;588000;85318800;Арбат;Новый Арбат;Арбатская;The Book
HQ Estate;real_estate_agent;https://www.cian.ru/sale/flat/283136381/;Москва;sale;flat;3;14;3;61.2;187908;11500000;;;Щербинка;
Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/278611162/;Москва;sale;flat;11;33;3;105.6;587026;61990000;Раменки;Мосфильмовская;Минская;Дом на Мосфильмовской
Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/279254359/;Москва;sale;flat;32;53;3;101.0;593069;59900000;Раменки;Мосфильмовская;Минская;Дом на Мосфильмовской
MR Group;developer;https://www.cian.ru/sale/flat/270240596/;Москва;sale;flat;31;36;3;115.8;323025;37406305;Западное Дегунино;Ильменский проезд;Селигерская;Селигер Сити
Bespoke Estate;real_estate_agent;https://www.cian.ru/sale/flat/271216208/;Москва;sale;flat;13;33;3;118.8;437710;52000000;Раменки;Мосфильмовская;Ломоносовский проспект;Дом на Мосфильмовской
Level Group;developer;https://www.cian.ru/sale/flat/285251907/;Москва;sale;flat;3;18;3;72.1;253318;18264293;Печатники;;Кожуховская;Левел Южнопортовая ЖК
NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/275848588/;Москва;sale;flat;33;65;3;190.0;842105;160000000;Пресненский;набережная Пресненская;Выставочная;Город Столиц
TEKTA GROUP;developer;https://www.cian.ru/sale/flat/270281665/;Москва;sale;flat;7;42;3;66.4;436099;28957040;Котловка;;Нагорная;Энитео ЖК
ФСК;developer;https://www.cian.ru/sale/flat/243185454/;Москва;sale;flat;26;26;3;71.8;414387;29752987;Хорошевский;Зорге;Зорге;Рихард
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/283769306/;Москва;sale;flat;6;12;3;130.0;1192307;155000000;Хамовники;Ефремова;Фрунзенская;Садовые кварталы
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/284832177/;Москва;sale;flat;4;20;3;85.4;275700;23544780;Головинский;Михалковская;Коптево;Михалковский
Level Group;developer;https://www.cian.ru/sale/flat/285128964/;Москва;sale;flat;11;46;3;62.0;359440;22285290;Очаково-Матвеевское;;Мичуринский проспект;Левел Мичуринский ЖК
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/282786138/;Москва;sale;flat;5;30;3;81.2;244000;19812800;Чертаново Южное;;Аннино;Варшавские Ворота ЖК
ID 12006071;unknown;https://www.cian.ru/sale/flat/284647560/;Москва;sale;flat;6;9;3;65.65;274166;17999000;Москворечье-Сабурово;переулок 2-й Котляковский;Каширская;LIFE-Варшавская
Мангазея;developer;https://www.cian.ru/sale/flat/283191604/;Москва;sale;flat;5;21;3;98.1;354320;34758792;Щукино;Щукинская;Стрешнево;Интонация
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/279976622/;Москва;sale;flat;32;53;3;99.0;606060;60000000;Раменки;Мосфильмовская;Кутузовская;Дом на Мосфильмовской
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/284549263/;Москва;sale;flat;11;11;3;154.5;970873;150000000;Хамовники;Ефремова;;Садовые кварталы
